Accuracy,Precision,Recall,F1,AUROC,Kappa,MCC,Balanced accuracy,algorithm,only_peaks,fold,cancer_type,classes,pos_class,variant_group,variant_type,breakpoint_type
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.7,0.3076923076923076,0.31622776601683794,0.65,LR,False,1,lung,RES vs NONRES,RES,cnv,dip,supervised
0.7777777777777778,0.75,0.75,0.75,0.75,0.55,0.55,0.775,kNN,False,1,lung,RES vs NONRES,RES,cnv,dip,supervised
0.4444444444444444,0.4,0.5,0.4444444444444445,0.45,-0.09756097560975618,-0.1,0.45,RF,False,2,lung,RES vs NONRES,RES,cnv,dip,supervised
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.35000000000000003,-0.15384615384615397,-0.15811388300841897,0.425,NB,False,2,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5555555555555556,0.5,0.75,0.6,0.65,0.1428571428571429,0.15811388300841897,0.575,LR,False,2,lung,RES vs NONRES,RES,cnv,dip,supervised
0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.4,-0.04651162790697683,-0.05976143046671968,0.475,kNN,False,2,lung,RES vs NONRES,RES,cnv,dip,supervised
0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,RF,False,3,lung,RES vs NONRES,RES,cnv,dip,supervised
0.875,1.0,0.75,0.8571428571428571,0.875,0.75,0.7745966692414834,0.875,NB,False,3,lung,RES vs NONRES,RES,cnv,dip,supervised
0.75,1.0,0.5,0.6666666666666666,0.8125,0.5,0.5773502691896258,0.75,LR,False,3,lung,RES vs NONRES,RES,cnv,dip,supervised
0.75,0.75,0.75,0.75,0.78125,0.5,0.5,0.75,kNN,False,3,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5,0.0,0.0,0.0,0.78125,0.0,0.0,0.5,RF,False,4,lung,RES vs NONRES,RES,cnv,dip,supervised
0.625,1.0,0.25,0.4,0.75,0.25,0.3779644730092272,0.625,NB,False,4,lung,RES vs NONRES,RES,cnv,dip,supervised
0.375,0.0,0.0,0.0,0.5625,-0.25,-0.3779644730092272,0.375,LR,False,4,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5,0.5,0.25,0.3333333333333333,0.5,0.0,0.0,0.5,kNN,False,4,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5333333333333333,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,RF,False,5,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5,0.4,0.6666666666666666,0.5,0.6,0.05882352941176472,0.06666666666666667,0.5333333333333333,NB,False,5,lung,RES vs NONRES,RES,cnv,dip,supervised
0.375,0.25,0.3333333333333333,0.28571428571428575,0.6,-0.25,-0.2581988897471611,0.3666666666666667,LR,False,5,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.49999999999999994,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,kNN,False,5,lung,RES vs NONRES,RES,cnv,dip,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.8,0.3076923076923076,0.31622776601683794,0.65,RF,False,6,lung,RES vs NONRES,RES,cnv,dip,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.8500000000000001,0.3076923076923076,0.31622776601683794,0.65,NB,False,6,lung,RES vs NONRES,RES,cnv,dip,supervised
0.7777777777777778,0.75,0.75,0.75,0.75,0.55,0.55,0.775,LR,False,6,lung,RES vs NONRES,RES,cnv,dip,supervised
0.8888888888888888,1.0,0.75,0.8571428571428571,0.875,0.7692307692307692,0.7905694150420948,0.875,kNN,False,6,lung,RES vs NONRES,RES,cnv,dip,supervised
0.3333333333333333,0.25,0.25,0.25,0.45,-0.34999999999999987,-0.35,0.325,RF,False,7,lung,RES vs NONRES,RES,cnv,dip,supervised
0.7777777777777778,0.75,0.75,0.75,0.7000000000000001,0.55,0.55,0.775,NB,False,7,lung,RES vs NONRES,RES,cnv,dip,supervised
0.8888888888888888,1.0,0.75,0.8571428571428571,0.75,0.7692307692307692,0.7905694150420948,0.875,LR,False,7,lung,RES vs NONRES,RES,cnv,dip,supervised
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.4,-0.15384615384615397,-0.15811388300841897,0.425,kNN,False,7,lung,RES vs NONRES,RES,cnv,dip,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.28125,-0.25,-0.2581988897471611,0.375,RF,False,8,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5,0.5,0.5,0.5,0.5625,0.0,0.0,0.5,NB,False,8,lung,RES vs NONRES,RES,cnv,dip,supervised
0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,0.25,LR,False,8,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5,0.5,0.5,0.5,0.375,0.0,0.0,0.5,kNN,False,8,lung,RES vs NONRES,RES,cnv,dip,supervised
0.875,0.8,1.0,0.888888888888889,0.8125,0.75,0.7745966692414834,0.875,RF,False,9,lung,RES vs NONRES,RES,cnv,dip,supervised
0.875,1.0,0.75,0.8571428571428571,0.8125,0.75,0.7745966692414834,0.875,NB,False,9,lung,RES vs NONRES,RES,cnv,dip,supervised
0.75,0.75,0.75,0.75,0.9375,0.5,0.5,0.75,LR,False,9,lung,RES vs NONRES,RES,cnv,dip,supervised
0.875,1.0,0.75,0.8571428571428571,0.96875,0.75,0.7745966692414834,0.875,kNN,False,9,lung,RES vs NONRES,RES,cnv,dip,supervised
0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.4666666666666667,0.4666666666666667,0.7333333333333334,RF,False,10,lung,RES vs NONRES,RES,cnv,dip,supervised
0.625,0.5,0.6666666666666666,0.5714285714285715,0.8666666666666667,0.25,0.2581988897471611,0.6333333333333333,NB,False,10,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5,0.0,0.0,0.0,0.39999999999999997,-0.23076923076923084,-0.29277002188455997,0.4,LR,False,10,lung,RES vs NONRES,RES,cnv,dip,supervised
0.625,0.5,0.6666666666666666,0.5714285714285715,0.7666666666666666,0.25,0.2581988897471611,0.6333333333333333,kNN,False,10,lung,RES vs NONRES,RES,cnv,dip,supervised
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.45,-0.15384615384615397,-0.15811388300841897,0.425,RF,True,1,lung,RES vs NONRES,RES,cnv,dup,supervised
0.6666666666666666,0.6,0.75,0.6666666666666665,0.65,0.3414634146341463,0.35,0.675,NB,True,1,lung,RES vs NONRES,RES,cnv,dup,supervised
0.6666666666666666,0.6,0.75,0.6666666666666665,0.49999999999999994,0.3414634146341463,0.35,0.675,LR,True,1,lung,RES vs NONRES,RES,cnv,dup,supervised
0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.42499999999999993,-0.04651162790697683,-0.05976143046671968,0.475,kNN,True,1,lung,RES vs NONRES,RES,cnv,dup,supervised
0.3333333333333333,0.3333333333333333,0.5,0.4,0.375,-0.2857142857142856,-0.31622776601683794,0.35,RF,True,2,lung,RES vs NONRES,RES,cnv,dup,supervised
0.5555555555555556,0.5,1.0,0.6666666666666666,0.39999999999999997,0.18181818181818188,0.31622776601683794,0.6,NB,True,2,lung,RES vs NONRES,RES,cnv,dup,supervised
0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.45,-0.04651162790697683,-0.05976143046671968,0.475,LR,True,2,lung,RES vs NONRES,RES,cnv,dup,supervised
0.6666666666666666,0.5714285714285714,1.0,0.7272727272727273,0.65,0.37209302325581395,0.47809144373375745,0.7,kNN,True,2,lung,RES vs NONRES,RES,cnv,dup,supervised
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,RF,True,3,lung,RES vs NONRES,RES,cnv,dup,supervised
