Accuracy,Precision,Recall,F1,AUROC,Kappa,MCC,Balanced accuracy,algorithm,fracs_counts,fold,cancer_type,classes,pos_class,variant_group,variant_type,breakpoint_type
0.25,0.25,0.25,0.25,0.09375,-0.5,-0.5,0.25,kNN,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",9,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.5,0.6666666666666666,0.5714285714285715,0.7333333333333333,0.25,0.2581988897471611,0.6333333333333333,RF,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",10,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,NB,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",10,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7333333333333333,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,LR,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",10,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.4,0.6666666666666666,0.5,0.6,0.05882352941176472,0.06666666666666667,0.5333333333333333,kNN,"{'include_counts': True, 'include_fracs': True, 'include_total': True}",10,lung,RES vs NONRES,RES,cnv,del,quantile
0.5555555555555556,0.5,0.5,0.5,0.39999999999999997,0.10000000000000009,0.1,0.55,RF,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",1,lung,RES vs NONRES,RES,cnv,del,clustering
0.2222222222222222,0.0,0.0,0.0,0.3,-0.6153846153846154,-0.6324555320336759,0.2,NB,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",1,lung,RES vs NONRES,RES,cnv,del,clustering
0.2222222222222222,0.0,0.0,0.0,0.35,-0.6153846153846154,-0.6324555320336759,0.2,LR,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",1,lung,RES vs NONRES,RES,cnv,del,clustering
0.4444444444444444,0.4,0.5,0.4444444444444445,0.42500000000000004,-0.09756097560975618,-0.1,0.45,kNN,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",1,lung,RES vs NONRES,RES,cnv,del,clustering
0.5555555555555556,0.5,0.5,0.5,0.65,0.10000000000000009,0.1,0.55,RF,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",2,lung,RES vs NONRES,RES,cnv,del,clustering
0.5555555555555556,0.0,0.0,0.0,0.5,0.0,0.0,0.5,NB,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",2,lung,RES vs NONRES,RES,cnv,del,clustering
